plant_uid,water_scenario,heat_scenario,country,plant_name,lat,lon,bucket,capacity_mw,commissioning_year,hazard_gfdl_esm4,hazard_miroc6,age,age_factor,age_factor_neutralized_missing_year,n_events,rate,event_multiplier,ccrs_gfdl_esm4,ccrs_miroc6,water_risk_band,heat_risk_band_gfdl_esm4,heat_risk_band_miroc6
BRA-001ee39a6bfe,bau,ssp370,Brazil,Danilo de Castro La Terza 38859160880 solar project,-22.8447,-47.6755,solar,1.0,2022.0,0.1381494233571224,0.4737278768850719,28.0,1.178554115951341,False,239,1.9274193548387097,1.1921221864951768,0.1940972472307284,0.665578433882832,Low-Medium,MEDIUM,LOW
BRA-001ee39a6bfe,opt,ssp126,Brazil,Danilo de Castro La Terza 38859160880 solar project,-22.8447,-47.6755,solar,1.0,2022.0,0.1618306081508266,0.4406441132679621,28.0,1.178554115951341,False,239,1.9274193548387097,1.1921221864951768,0.2273688503103745,0.6190963908162217,Low-Medium,MEDIUM,LOW
BRA-001ee39a6bfe,pes,ssp585,Brazil,Danilo de Castro La Terza 38859160880 solar project,-22.8447,-47.6755,solar,1.0,2022.0,0.2539435435265185,0.5287490591592903,28.0,1.178554115951341,False,239,1.9274193548387097,1.1921221864951768,0.35678572919626106,0.7428821225938521,Low-Medium,MEDIUM,MEDIUM
BRA-004c19a5482d,bau,ssp370,Brazil,UFL power station,-22.8585,-51.3775,thermal,42.0,2014.0,0.2939518033929051,0.2983562993825657,36.0,1.0,False,239,1.9274193548387097,1.1921221864951768,0.35042646658495036,0.3556771639745538,Low,MEDIUM,MEDIUM
BRA-004c19a5482d,opt,ssp126,Brazil,UFL power station,-22.8585,-51.3775,thermal,42.0,2014.0,0.2148597095219136,0.2524330274772551,36.0,1.0,False,239,1.9274193548387097,1.1921221864951768,0.2561390267049822,0.3009310126597824,Low,MEDIUM,MEDIUM
BRA-004c19a5482d,pes,ssp585,Brazil,UFL power station,-22.8585,-51.3775,thermal,42.0,2014.0,0.3238303066544337,0.3034894043349565,36.0,1.0,False,239,1.9274193548387097,1.1921221864951768,0.3860452932222871,0.36179645227390717,Low,MEDIUM,MEDIUM
BRA-0065f7d39498,bau,ssp370,Brazil,Barbosa Claro solar project,-21.29,-49.94,solar,4.6,2020.0,0.3730348431039937,0.7268665353888896,30.0,1.190014107479704,False,239,1.9274193548387097,1.1921221864951768,0.5292029778721598,1.0311635552397593,Low,MEDIUM,MEDIUM
BRA-0065f7d39498,opt,ssp126,Brazil,Barbosa Claro solar project,-21.29,-49.94,solar,4.6,2020.0,0.34960880510452,0.6954541753446984,30.0,1.190014107479704,False,239,1.9274193548387097,1.1921221864951768,0.4959698113241979,0.9866006550584908,Low,MEDIUM,MEDIUM
BRA-0065f7d39498,pes,ssp585,Brazil,Barbosa Claro solar project,-21.29,-49.94,solar,4.6,2020.0,0.4661278701980041,0.7384133360285948,30.0,1.190014107479704,False,239,1.9274193548387097,1.1921221864951768,0.6612686764738047,1.0475443341304986,Low,MEDIUM,MEDIUM
BRA-0069b0a884f0,bau,ssp370,Brazil,Trairi wind farm,-3.2533,-39.2811,wind,18.9,2016.0,0.0290875675764646,0.0322042384443135,34.0,1.1360000000000001,False,239,1.9274193548387097,1.1921221864951768,0.03939186177271624,0.043612615800863036,Low,LOW,LOW
