plant_uid,water_scenario,heat_scenario,country,plant_name,lat,lon,bucket,capacity_mw,commissioning_year,hazard_gfdl_esm4,hazard_miroc6
BRA-001ee39a6bfe,bau,ssp370,Brazil,Danilo de Castro La Terza 38859160880 solar project,-22.8447,-47.6755,solar,1.0,2022.0,0.1381494233571224,0.4737278768850719
BRA-001ee39a6bfe,opt,ssp126,Brazil,Danilo de Castro La Terza 38859160880 solar project,-22.8447,-47.6755,solar,1.0,2022.0,0.1618306081508266,0.4406441132679621
BRA-001ee39a6bfe,pes,ssp585,Brazil,Danilo de Castro La Terza 38859160880 solar project,-22.8447,-47.6755,solar,1.0,2022.0,0.2539435435265185,0.5287490591592903
BRA-004c19a5482d,bau,ssp370,Brazil,UFL power station,-22.8585,-51.3775,thermal,42.0,2014.0,0.29395180339290516,0.2983562993825657
BRA-004c19a5482d,opt,ssp126,Brazil,UFL power station,-22.8585,-51.3775,thermal,42.0,2014.0,0.21485970952191363,0.2524330274772551
BRA-004c19a5482d,pes,ssp585,Brazil,UFL power station,-22.8585,-51.3775,thermal,42.0,2014.0,0.32383030665443374,0.3034894043349565
BRA-0065f7d39498,bau,ssp370,Brazil,Barbosa Claro solar project,-21.29,-49.94,solar,4.6,2020.0,0.37303484310399376,0.7268665353888896
BRA-0065f7d39498,opt,ssp126,Brazil,Barbosa Claro solar project,-21.29,-49.94,solar,4.6,2020.0,0.34960880510452,0.6954541753446984
BRA-0065f7d39498,pes,ssp585,Brazil,Barbosa Claro solar project,-21.29,-49.94,solar,4.6,2020.0,0.4661278701980041,0.7384133360285948
BRA-0069b0a884f0,bau,ssp370,Brazil,Trairi wind farm,-3.2533,-39.2811,wind,18.9,2016.0,0.029087567576464614,0.032204238444313554
BRA-0069b0a884f0,opt,ssp126,Brazil,Trairi wind farm,-3.2533,-39.2811,wind,18.9,2016.0,0.027791094756031268,0.029989118911611393
BRA-0069b0a884f0,pes,ssp585,Brazil,Trairi wind farm,-3.2533,-39.2811,wind,18.9,2016.0,0.011658321393885595,0.03741354541112881
BRA-0077bbe4b9ca,bau,ssp370,Brazil,Futura Solar Complex,-9.6688,-40.6758,solar,31.5,2022.0,0.04032837148145224,0.7549044749480577
BRA-0077bbe4b9ca,opt,ssp126,Brazil,Futura Solar Complex,-9.6688,-40.6758,solar,31.5,2022.0,0.027791094756031268,0.7161860141686743
BRA-0077bbe4b9ca,pes,ssp585,Brazil,Futura Solar Complex,-9.6688,-40.6758,solar,31.5,2022.0,0.020192348711828807,0.7525490683823791
BRA-00887f29ecab,bau,ssp370,Brazil,Acauã wind farm,-6.0976,-36.6294,wind,16.8,2023.0,0.014091750554905705,0.8379234162049702
BRA-00887f29ecab,opt,ssp126,Brazil,Acauã wind farm,-6.0976,-36.6294,wind,16.8,2023.0,0.029087567576464614,0.8152908041655603
BRA-00887f29ecab,pes,ssp585,Brazil,Acauã wind farm,-6.0976,-36.6294,wind,16.8,2023.0,0.02443984685682404,0.8504924778894635
BRA-008d3401007e,bau,ssp370,Brazil,Porteirinha Consorcio UFV Mirabela III solar project,-15.72,-42.99,solar,2.5,2020.0,0.05305081001350802,0.6008497277956366
BRA-008d3401007e,opt,ssp126,Brazil,Porteirinha Consorcio UFV Mirabela III solar project,-15.72,-42.99,solar,2.5,2020.0,0.030034334112065117,0.5547509649259442
BRA-008d3401007e,pes,ssp585,Brazil,Porteirinha Consorcio UFV Mirabela III solar project,-15.72,-42.99,solar,2.5,2020.0,0.07684321849910464,0.6393173502839479
BRA-009482934456,bau,ssp370,Brazil,Salinas Associacao Terenas Energia solar project,-16.1699,-42.291,solar,2.0,2023.0,0.04194617095350262,0.7222342755903264
BRA-009482934456,opt,ssp126,Brazil,Salinas Associacao Terenas Energia solar project,-16.1699,-42.291,solar,2.0,2023.0,0.016958856555393278,0.6346810713437041
BRA-009482934456,pes,ssp585,Brazil,Salinas Associacao Terenas Energia solar project,-16.1699,-42.291,solar,2.0,2023.0,0.04818127179544262,0.713003767208226
BRA-00a66a3a4740,bau,ssp370,Brazil,Vista Alegre solar farm (Brazil),-15.8126,-43.4759,solar,41.2,2024.0,0.05305081001350802,0.6008497277956366
BRA-00a66a3a4740,opt,ssp126,Brazil,Vista Alegre solar farm (Brazil),-15.8126,-43.4759,solar,41.2,2024.0,0.030034334112065117,0.5547509649259442
BRA-00a66a3a4740,pes,ssp585,Brazil,Vista Alegre solar farm (Brazil),-15.8126,-43.4759,solar,41.2,2024.0,0.07684321849910464,0.6393173502839479
