plant_uid,water_scenario,heat_scenario,country,plant_name,lat,lon,bucket,capacity_mw,commissioning_year,hazard_gfdl_esm4,hazard_miroc6,age,age_factor,age_factor_neutralized_missing_year,hazard_gfdl_esm4_aged,hazard_miroc6_aged
BRA-001ee39a6bfe,bau,ssp370,Brazil,Danilo de Castro La Terza 38859160880 solar project,-22.8447,-47.6755,solar,1.0,2022.0,0.1381494233571224,0.4737278768850719,28.0,1.178554115951341,False,0.16281657151384096,0.5583139391437917
BRA-001ee39a6bfe,opt,ssp126,Brazil,Danilo de Castro La Terza 38859160880 solar project,-22.8447,-47.6755,solar,1.0,2022.0,0.1618306081508266,0.4406441132679621,28.0,1.178554115951341,False,0.19072612932306532,0.5193229333616857
BRA-001ee39a6bfe,pes,ssp585,Brazil,Danilo de Castro La Terza 38859160880 solar project,-22.8447,-47.6755,solar,1.0,2022.0,0.2539435435265185,0.5287490591592903,28.0,1.178554115951341,False,0.2992862084424469,0.6231593799775806
BRA-004c19a5482d,bau,ssp370,Brazil,UFL power station,-22.8585,-51.3775,thermal,42.0,2014.0,0.2939518033929051,0.2983562993825657,36.0,1.0,False,0.2939518033929051,0.2983562993825657
BRA-004c19a5482d,opt,ssp126,Brazil,UFL power station,-22.8585,-51.3775,thermal,42.0,2014.0,0.2148597095219136,0.2524330274772551,36.0,1.0,False,0.2148597095219136,0.2524330274772551
BRA-004c19a5482d,pes,ssp585,Brazil,UFL power station,-22.8585,-51.3775,thermal,42.0,2014.0,0.3238303066544337,0.3034894043349565,36.0,1.0,False,0.3238303066544337,0.3034894043349565
BRA-0065f7d39498,bau,ssp370,Brazil,Barbosa Claro solar project,-21.29,-49.94,solar,4.6,2020.0,0.3730348431039937,0.7268665353888896,30.0,1.190014107479704,False,0.44391672587523046,0.864981431367674
BRA-0065f7d39498,opt,ssp126,Brazil,Barbosa Claro solar project,-21.29,-49.94,solar,4.6,2020.0,0.34960880510452,0.6954541753446984,30.0,1.190014107479704,False,0.41603941017350116,0.8276002797658548
BRA-0065f7d39498,pes,ssp585,Brazil,Barbosa Claro solar project,-21.29,-49.94,solar,4.6,2020.0,0.4661278701980041,0.7384133360285948,30.0,1.190014107479704,False,0.5546987414250931,0.878722287025179
BRA-0069b0a884f0,bau,ssp370,Brazil,Trairi wind farm,-3.2533,-39.2811,wind,18.9,2016.0,0.0290875675764646,0.0322042384443135,34.0,1.1360000000000001,False,0.03304347676686379,0.036584014872740135
BRA-0069b0a884f0,opt,ssp126,Brazil,Trairi wind farm,-3.2533,-39.2811,wind,18.9,2016.0,0.0277910947560312,0.0299891189116113,34.0,1.1360000000000001,False,0.03157068364285145,0.03406763908359044
BRA-0069b0a884f0,pes,ssp585,Brazil,Trairi wind farm,-3.2533,-39.2811,wind,18.9,2016.0,0.0116583213938855,0.0374135454111288,34.0,1.1360000000000001,False,0.01324385310345393,0.04250178758704232
BRA-0077bbe4b9ca,bau,ssp370,Brazil,Futura Solar Complex,-9.6688,-40.6758,solar,31.5,2022.0,0.0403283714814522,0.7549044749480577,28.0,1.178554115951341,False,0.04752916819908017,0.8896957761001194
BRA-0077bbe4b9ca,opt,ssp126,Brazil,Futura Solar Complex,-9.6688,-40.6758,solar,31.5,2022.0,0.0277910947560312,0.7161860141686743,28.0,1.178554115951341,False,0.0327533091115143,0.8440639747852766
BRA-0077bbe4b9ca,pes,ssp585,Brazil,Futura Solar Complex,-9.6688,-40.6758,solar,31.5,2022.0,0.0201923487118288,0.7525490683823791,28.0,1.178554115951341,False,0.023797775685050593,0.8869198019974002
BRA-00887f29ecab,bau,ssp370,Brazil,Acauã wind farm,-6.0976,-36.6294,wind,16.8,2023.0,0.0140917505549057,0.8379234162049702,27.0,1.108,False,0.015613659614835516,0.9284191451551072
BRA-00887f29ecab,opt,ssp126,Brazil,Acauã wind farm,-6.0976,-36.6294,wind,16.8,2023.0,0.0290875675764646,0.8152908041655603,27.0,1.108,False,0.03222902487472278,0.9033422110154409
BRA-00887f29ecab,pes,ssp585,Brazil,Acauã wind farm,-6.0976,-36.6294,wind,16.8,2023.0,0.024439846856824,0.8504924778894635,27.0,1.108,False,0.027079350317360994,0.9423456655015257
BRA-008d3401007e,bau,ssp370,Brazil,Porteirinha Consorcio UFV Mirabela III solar project,-15.72,-42.99,solar,2.5,2020.0,0.053050810013508,0.6008497277956366,30.0,1.190014107479704,False,0.06313121232930007,0.7150196525521476
BRA-008d3401007e,opt,ssp126,Brazil,Porteirinha Consorcio UFV Mirabela III solar project,-15.72,-42.99,solar,2.5,2020.0,0.0300343341120651,0.5547509649259442,30.0,1.190014107479704,False,0.03574128130211637,0.6601614743998521
BRA-008d3401007e,pes,ssp585,Brazil,Porteirinha Consorcio UFV Mirabela III solar project,-15.72,-42.99,solar,2.5,2020.0,0.0768432184991046,0.6393173502839479,30.0,1.190014107479704,False,0.09144451407807982,0.7607966659944415
BRA-009482934456,bau,ssp370,Brazil,Salinas Associacao Terenas Energia solar project,-16.1699,-42.291,solar,2.0,2023.0,0.0419461709535026,0.7222342755903264,27.0,1.1727634601725492,False,0.04919293658841899,0.8470099680965256
