plant_uid,country,plant_name,water_scenario,heat_scenario,bucket,capacity_mw,commissioning_year,ws_raw,sv_raw,iv_raw,s_water,water_risk_band,heat_days,heat_risk_band
BRA-cbda837f8a35,Brazil,14 De Julho hydroelectric plant,opt,ssp126,hydro,100.0,2008.0,0.019458895549178123,0.21948374807834625,0.4502464234828949,0.21306497311486663,Low-Medium,0.06666667014360428,MEDIUM
BRA-ca9d23d99914,Brazil,3 Tentos Ijuí power station,opt,ssp126,thermal,5.5,2022.0,0.0018320659874007106,0.20065484941005707,0.4381156265735626,0.19696792547450193,Low,1.2999999523162842,MEDIUM
BRA-6daf8b37325b,Brazil,499 Solar Energias Inteligentes,opt,ssp126,solar,2.5,2024.0,0.04728013649582863,0.2818397283554077,0.23849166929721832,0.1697274578447146,Low,0.13333334028720856,MEDIUM
BRA-19c9327fb440,Brazil,Abadia de Goiás Corrego Das Matas Empreendimentos Imobiliarios solar project,opt,ssp126,solar,3.0,2025.0,0.03545878082513809,0.32662394642829895,0.44230905175209045,0.24391864956302348,Low-Medium,0.0,LOW
BRA-84fd3db82a6f,Brazil,Abaetetuba Private Installation solar project,opt,ssp126,solar,2.5,2024.0,0.3983110785484314,1.0073738098144531,0.49900931119918823,0.5844078551774929,Medium-High,0.9666666388511658,MEDIUM
BRA-afa6992739b3,Brazil,Abv Comercio de Alimentos solar project,opt,ssp126,solar,2.6,2024.0,0.024078916758298874,0.3347011208534241,0.7407971024513245,0.3406368105759192,Low-Medium,7.233333110809326,MEDIUM
BRA-cc4d21553abd,Brazil,Acauã (CHESF) wind farm,opt,ssp126,wind,6.0,2019.0,0.2639204263687134,0.6992780566215515,0.8305464386940002,0.5617213597802273,Medium-High,0.03333333507180214,MEDIUM
BRA-00887f29ecab,Brazil,Acauã wind farm,opt,ssp126,wind,16.8,2023.0,0.05894875153899193,0.34604230523109436,0.6497397422790527,0.3276639854466646,Low-Medium,0.0,LOW
BRA-f96776e6cb4e,Brazil,Acauã wind farm,opt,ssp126,wind,46.2,2023.0,0.05894875153899193,0.34604230523109436,0.6497397422790527,0.3276639854466646,Low-Medium,0.0,LOW
BRA-236bf3ca9749,Brazil,Acauã wind farm,opt,ssp126,wind,25.2,2024.0,0.05894875153899193,0.34604230523109436,0.6497397422790527,0.3276639854466646,Low-Medium,0.0,LOW
