country,water_scenario,band,capacity_mw,capacity_share
Brazil,bau,Low,57540.899999999994,0.26838168932296946
Brazil,bau,Low-Medium,118652.09999999999,0.5534159361379107
Brazil,bau,Medium-High,25704.9,0.11989253706281965
Brazil,bau,High,9417.9,0.04392687482946555
Brazil,bau,Extremely-High,2113.9,0.00985963120249814
Brazil,bau,NO_BAND,969.7999999999884,0.004523331444336336
Brazil,opt,Low,55573.6,0.25920582837180123
Brazil,opt,Low-Medium,132290.59999999998,0.6170284912045036
Brazil,opt,Medium-High,17412.8,0.08121660731484914
Brazil,opt,High,6038.8,0.02816611046201134
Brazil,opt,Extremely-High,2113.9,0.00985963120249814
Brazil,opt,NO_BAND,969.7999999999884,0.004523331444336336
Brazil,pes,Low,52273.0,0.24381120291791725
Brazil,pes,Low-Medium,130520.9,0.6087742741937364
Brazil,pes,Medium-High,20572.4,0.09595358198130127
Brazil,pes,High,7949.499999999998,0.03707797826021049
Brazil,pes,Extremely-High,2113.9,0.00985963120249814
Brazil,pes,NO_BAND,969.7999999999884,0.004523331444336336
India,bau,Low,1007.0,0.00217504606583413
India,bau,Low-Medium,46625.8,0.10070830472330584
India,bau,Medium-High,136522.1,0.2948777125167961
India,bau,High,100544.2,0.21716809002228396
India,bau,Extremely-High,176922.5,0.3821396103103663
India,bau,NO_BAND,1357.0999999999767,0.0029312363614135526
India,opt,Low,1007.0,0.00217504606583413
India,opt,Low-Medium,52456.7,0.11330262061731997
India,opt,Medium-High,144522.4,0.31215777313297566
India,opt,High,91216.4,0.19702072687145217
India,opt,Extremely-High,172419.09999999998,0.37241259695100437
India,opt,NO_BAND,1357.0999999999767,0.0029312363614135526
India,pes,Low,1007.0,0.00217504606583413
India,pes,Low-Medium,58599.8,0.12657126558954007
India,pes,Medium-High,131576.7,0.2841960116091734
India,pes,High,98095.5,0.2118790778063872
India,pes,Extremely-High,172342.6,0.3722473625676516
India,pes,NO_BAND,1357.0999999999767,0.0029312363614135526
Portugal,bau,Low,0.0,0.0
Portugal,bau,Low-Medium,3043.49,0.14016392347904255
Portugal,bau,Medium-High,12428.599999999999,0.5723828037390063
Portugal,bau,High,4777.6,0.2200260755952784
Portugal,bau,Extremely-High,1439.1000000000001,0.06627585511327135
Portugal,bau,NO_BAND,25.0,0.0011513420734012808
Portugal,opt,Low,0.0,0.0
Portugal,opt,Low-Medium,2750.89,0.12668861585195398
Portugal,opt,Medium-High,13887.8,0.6395843378792924
Portugal,opt,High,5050.099999999999,0.2325757041953523
Portugal,opt,Extremely-High,0.0,0.0
Portugal,opt,NO_BAND,25.0,0.0011513420734012808
Portugal,pes,Low,0.0,0.0
Portugal,pes,Low-Medium,2750.89,0.12668861585195398
Portugal,pes,Medium-High,13277.0,0.6114547483419522
Portugal,pes,High,4221.8,0.1944294386194211
Portugal,pes,Extremely-High,1439.1000000000001,0.06627585511327135
Portugal,pes,NO_BAND,25.0,0.0011513420734012808
